DateID,Date,Day,Month,Year,Weekday,Quarter
20220304,2022-03-04,4,3,2022,Friday,1
20220305,2022-03-05,5,3,2022,Saturday,1
20220306,2022-03-06,6,3,2022,Sunday,1
20220307,2022-03-07,7,3,2022,Monday,1
20220308,2022-03-08,8,3,2022,Tuesday,1
20220309,2022-03-09,9,3,2022,Wednesday,1
20220310,2022-03-10,10,3,2022,Thursday,1
20220311,2022-03-11,11,3,2022,Friday,1
20220312,2022-03-12,12,3,2022,Saturday,1
20220313,2022-03-13,13,3,2022,Sunday,1
20220314,2022-03-14,14,3,2022,Monday,1
20220315,2022-03-15,15,3,2022,Tuesday,1
20220316,2022-03-16,16,3,2022,Wednesday,1
20220317,2022-03-17,17,3,2022,Thursday,1
20220318,2022-03-18,18,3,2022,Friday,1
20220319,2022-03-19,19,3,2022,Saturday,1
20220320,2022-03-20,20,3,2022,Sunday,1
20220321,2022-03-21,21,3,2022,Monday,1
20220322,2022-03-22,22,3,2022,Tuesday,1
20220323,2022-03-23,23,3,2022,Wednesday,1
20220324,2022-03-24,24,3,2022,Thursday,1
20220325,2022-03-25,25,3,2022,Friday,1
20220326,2022-03-26,26,3,2022,Saturday,1
20220327,2022-03-27,27,3,2022,Sunday,1
20220328,2022-03-28,28,3,2022,Monday,1
20220329,2022-03-29,29,3,2022,Tuesday,1
20220330,2022-03-30,30,3,2022,Wednesday,1
20220331,2022-03-31,31,3,2022,Thursday,1
20220401,2022-04-01,1,4,2022,Friday,2
20220402,2022-04-02,2,4,2022,Saturday,2
20220403,2022-04-03,3,4,2022,Sunday,2
20220404,2022-04-04,4,4,2022,Monday,2
20220405,2022-04-05,5,4,2022,Tuesday,2
20220406,2022-04-06,6,4,2022,Wednesday,2
20220407,2022-04-07,7,4,2022,Thursday,2
20220408,2022-04-08,8,4,2022,Friday,2
20220409,2022-04-09,9,4,2022,Saturday,2
20220410,2022-04-10,10,4,2022,Sunday,2
20220411,2022-04-11,11,4,2022,Monday,2
20220412,2022-04-12,12,4,2022,Tuesday,2
20220413,2022-04-13,13,4,2022,Wednesday,2
20220414,2022-04-14,14,4,2022,Thursday,2
20220415,2022-04-15,15,4,2022,Friday,2
20220416,2022-04-16,16,4,2022,Saturday,2
20220417,2022-04-17,17,4,2022,Sunday,2
20220418,2022-04-18,18,4,2022,Monday,2
20220419,2022-04-19,19,4,2022,Tuesday,2
20220420,2022-04-20,20,4,2022,Wednesday,2
20220421,2022-04-21,21,4,2022,Thursday,2
20220422,2022-04-22,22,4,2022,Friday,2
20220423,2022-04-23,23,4,2022,Saturday,2
20220424,2022-04-24,24,4,2022,Sunday,2
20220425,2022-04-25,25,4,2022,Monday,2
20220426,2022-04-26,26,4,2022,Tuesday,2
20220427,2022-04-27,27,4,2022,Wednesday,2
20220428,2022-04-28,28,4,2022,Thursday,2
20220429,2022-04-29,29,4,2022,Friday,2
20220430,2022-04-30,30,4,2022,Saturday,2
20220501,2022-05-01,1,5,2022,Sunday,2
20220502,2022-05-02,2,5,2022,Monday,2
20220503,2022-05-03,3,5,2022,Tuesday,2
20220504,2022-05-04,4,5,2022,Wednesday,2
20220505,2022-05-05,5,5,2022,Thursday,2
20220506,2022-05-06,6,5,2022,Friday,2
20220507,2022-05-07,7,5,2022,Saturday,2
20220508,2022-05-08,8,5,2022,Sunday,2
20220509,2022-05-09,9,5,2022,Monday,2
20220510,2022-05-10,10,5,2022,Tuesday,2
20220511,2022-05-11,11,5,2022,Wednesday,2
20220512,2022-05-12,12,5,2022,Thursday,2
20220513,2022-05-13,13,5,2022,Friday,2
20220514,2022-05-14,14,5,2022,Saturday,2
20220515,2022-05-15,15,5,2022,Sunday,2
20220516,2022-05-16,16,5,2022,Monday,2
20220517,2022-05-17,17,5,2022,Tuesday,2
20220518,2022-05-18,18,5,2022,Wednesday,2
20220519,2022-05-19,19,5,2022,Thursday,2
20220520,2022-05-20,20,5,2022,Friday,2
20220521,2022-05-21,21,5,2022,Saturday,2
20220522,2022-05-22,22,5,2022,Sunday,2
20220523,2022-05-23,23,5,2022,Monday,2
20220524,2022-05-24,24,5,2022,Tuesday,2
20220525,2022-05-25,25,5,2022,Wednesday,2
20220526,2022-05-26,26,5,2022,Thursday,2
20220527,2022-05-27,27,5,2022,Friday,2
20220528,2022-05-28,28,5,2022,Saturday,2
20220529,2022-05-29,29,5,2022,Sunday,2
20220530,2022-05-30,30,5,2022,Monday,2
20220531,2022-05-31,31,5,2022,Tuesday,2
20220601,2022-06-01,1,6,2022,Wednesday,2
20220602,2022-06-02,2,6,2022,Thursday,2
20220603,2022-06-03,3,6,2022,Friday,2
20220604,2022-06-04,4,6,2022,Saturday,2
20220605,2022-06-05,5,6,2022,Sunday,2
20220606,2022-06-06,6,6,2022,Monday,2
20220607,2022-06-07,7,6,2022,Tuesday,2
20220608,2022-06-08,8,6,2022,Wednesday,2
20220609,2022-06-09,9,6,2022,Thursday,2
20220610,2022-06-10,10,6,2022,Friday,2
20220611,2022-06-11,11,6,2022,Saturday,2
20220612,2022-06-12,12,6,2022,Sunday,2
20220613,2022-06-13,13,6,2022,Monday,2
20220614,2022-06-14,14,6,2022,Tuesday,2
20220615,2022-06-15,15,6,2022,Wednesday,2
20220616,2022-06-16,16,6,2022,Thursday,2
20220617,2022-06-17,17,6,2022,Friday,2
20220618,2022-06-18,18,6,2022,Saturday,2
20220619,2022-06-19,19,6,2022,Sunday,2
20220620,2022-06-20,20,6,2022,Monday,2
20220621,2022-06-21,21,6,2022,Tuesday,2
20220622,2022-06-22,22,6,2022,Wednesday,2
20220623,2022-06-23,23,6,2022,Thursday,2
20220624,2022-06-24,24,6,2022,Friday,2
20220625,2022-06-25,25,6,2022,Saturday,2
20220626,2022-06-26,26,6,2022,Sunday,2
20220627,2022-06-27,27,6,2022,Monday,2
20220628,2022-06-28,28,6,2022,Tuesday,2
20220629,2022-06-29,29,6,2022,Wednesday,2
20220630,2022-06-30,30,6,2022,Thursday,2
20220701,2022-07-01,1,7,2022,Friday,3
20220702,2022-07-02,2,7,2022,Saturday,3
20220703,2022-07-03,3,7,2022,Sunday,3
20220704,2022-07-04,4,7,2022,Monday,3
20220705,2022-07-05,5,7,2022,Tuesday,3
20220706,2022-07-06,6,7,2022,Wednesday,3
20220707,2022-07-07,7,7,2022,Thursday,3
20220708,2022-07-08,8,7,2022,Friday,3
20220709,2022-07-09,9,7,2022,Saturday,3
20220710,2022-07-10,10,7,2022,Sunday,3
20220711,2022-07-11,11,7,2022,Monday,3
20220712,2022-07-12,12,7,2022,Tuesday,3
20220713,2022-07-13,13,7,2022,Wednesday,3
20220714,2022-07-14,14,7,2022,Thursday,3
20220715,2022-07-15,15,7,2022,Friday,3
20220716,2022-07-16,16,7,2022,Saturday,3
20220717,2022-07-17,17,7,2022,Sunday,3
20220718,2022-07-18,18,7,2022,Monday,3
20220719,2022-07-19,19,7,2022,Tuesday,3
20220720,2022-07-20,20,7,2022,Wednesday,3
20220721,2022-07-21,21,7,2022,Thursday,3
20220722,2022-07-22,22,7,2022,Friday,3
20220723,2022-07-23,23,7,2022,Saturday,3
20220724,2022-07-24,24,7,2022,Sunday,3
20220725,2022-07-25,25,7,2022,Monday,3
20220726,2022-07-26,26,7,2022,Tuesday,3
20220727,2022-07-27,27,7,2022,Wednesday,3
20220728,2022-07-28,28,7,2022,Thursday,3
20220729,2022-07-29,29,7,2022,Friday,3
20220730,2022-07-30,30,7,2022,Saturday,3
20220731,2022-07-31,31,7,2022,Sunday,3
20220801,2022-08-01,1,8,2022,Monday,3
20220802,2022-08-02,2,8,2022,Tuesday,3
20220803,2022-08-03,3,8,2022,Wednesday,3
20220804,2022-08-04,4,8,2022,Thursday,3
20220805,2022-08-05,5,8,2022,Friday,3
20220806,2022-08-06,6,8,2022,Saturday,3
20220807,2022-08-07,7,8,2022,Sunday,3
20220808,2022-08-08,8,8,2022,Monday,3
20220809,2022-08-09,9,8,2022,Tuesday,3
20220810,2022-08-10,10,8,2022,Wednesday,3
20220811,2022-08-11,11,8,2022,Thursday,3
20220812,2022-08-12,12,8,2022,Friday,3
20220813,2022-08-13,13,8,2022,Saturday,3
20220814,2022-08-14,14,8,2022,Sunday,3
20220815,2022-08-15,15,8,2022,Monday,3
20220816,2022-08-16,16,8,2022,Tuesday,3
20220817,2022-08-17,17,8,2022,Wednesday,3
20220818,2022-08-18,18,8,2022,Thursday,3
20220819,2022-08-19,19,8,2022,Friday,3
20220820,2022-08-20,20,8,2022,Saturday,3
20220821,2022-08-21,21,8,2022,Sunday,3
20220822,2022-08-22,22,8,2022,Monday,3
20220823,2022-08-23,23,8,2022,Tuesday,3
20220824,2022-08-24,24,8,2022,Wednesday,3
20220825,2022-08-25,25,8,2022,Thursday,3
20220826,2022-08-26,26,8,2022,Friday,3
20220827,2022-08-27,27,8,2022,Saturday,3
20220828,2022-08-28,28,8,2022,Sunday,3
20220829,2022-08-29,29,8,2022,Monday,3
20220830,2022-08-30,30,8,2022,Tuesday,3
20220831,2022-08-31,31,8,2022,Wednesday,3
20220901,2022-09-01,1,9,2022,Thursday,3
20220902,2022-09-02,2,9,2022,Friday,3
20220903,2022-09-03,3,9,2022,Saturday,3
20220904,2022-09-04,4,9,2022,Sunday,3
20220905,2022-09-05,5,9,2022,Monday,3
20220906,2022-09-06,6,9,2022,Tuesday,3
20220907,2022-09-07,7,9,2022,Wednesday,3
20220908,2022-09-08,8,9,2022,Thursday,3
20220909,2022-09-09,9,9,2022,Friday,3
20220910,2022-09-10,10,9,2022,Saturday,3
20220911,2022-09-11,11,9,2022,Sunday,3
20220912,2022-09-12,12,9,2022,Monday,3
20220913,2022-09-13,13,9,2022,Tuesday,3
20220914,2022-09-14,14,9,2022,Wednesday,3
20220915,2022-09-15,15,9,2022,Thursday,3
20220916,2022-09-16,16,9,2022,Friday,3
20220917,2022-09-17,17,9,2022,Saturday,3
20220918,2022-09-18,18,9,2022,Sunday,3
20220919,2022-09-19,19,9,2022,Monday,3
20220920,2022-09-20,20,9,2022,Tuesday,3
20220921,2022-09-21,21,9,2022,Wednesday,3
20220922,2022-09-22,22,9,2022,Thursday,3
20220923,2022-09-23,23,9,2022,Friday,3
20220924,2022-09-24,24,9,2022,Saturday,3
20220925,2022-09-25,25,9,2022,Sunday,3
20220926,2022-09-26,26,9,2022,Monday,3
20220927,2022-09-27,27,9,2022,Tuesday,3
20220928,2022-09-28,28,9,2022,Wednesday,3
20220929,2022-09-29,29,9,2022,Thursday,3
20220930,2022-09-30,30,9,2022,Friday,3
20221001,2022-10-01,1,10,2022,Saturday,4
20221002,2022-10-02,2,10,2022,Sunday,4
20221003,2022-10-03,3,10,2022,Monday,4
20221004,2022-10-04,4,10,2022,Tuesday,4
20221005,2022-10-05,5,10,2022,Wednesday,4
20221006,2022-10-06,6,10,2022,Thursday,4
20221007,2022-10-07,7,10,2022,Friday,4
20221008,2022-10-08,8,10,2022,Saturday,4
20221009,2022-10-09,9,10,2022,Sunday,4
20221010,2022-10-10,10,10,2022,Monday,4
20221011,2022-10-11,11,10,2022,Tuesday,4
20221012,2022-10-12,12,10,2022,Wednesday,4
20221013,2022-10-13,13,10,2022,Thursday,4
20221014,2022-10-14,14,10,2022,Friday,4
20221015,2022-10-15,15,10,2022,Saturday,4
20221016,2022-10-16,16,10,2022,Sunday,4
20221017,2022-10-17,17,10,2022,Monday,4
20221018,2022-10-18,18,10,2022,Tuesday,4
20221019,2022-10-19,19,10,2022,Wednesday,4
20221020,2022-10-20,20,10,2022,Thursday,4
20221021,2022-10-21,21,10,2022,Friday,4
20221022,2022-10-22,22,10,2022,Saturday,4
20221023,2022-10-23,23,10,2022,Sunday,4
20221024,2022-10-24,24,10,2022,Monday,4
20221025,2022-10-25,25,10,2022,Tuesday,4
20221026,2022-10-26,26,10,2022,Wednesday,4
20221027,2022-10-27,27,10,2022,Thursday,4
20221028,2022-10-28,28,10,2022,Friday,4
20221029,2022-10-29,29,10,2022,Saturday,4
20221030,2022-10-30,30,10,2022,Sunday,4
20221031,2022-10-31,31,10,2022,Monday,4
20221101,2022-11-01,1,11,2022,Tuesday,4
20221102,2022-11-02,2,11,2022,Wednesday,4
20221103,2022-11-03,3,11,2022,Thursday,4
20221104,2022-11-04,4,11,2022,Friday,4
20221105,2022-11-05,5,11,2022,Saturday,4
20221106,2022-11-06,6,11,2022,Sunday,4
20221107,2022-11-07,7,11,2022,Monday,4
20221108,2022-11-08,8,11,2022,Tuesday,4
20221109,2022-11-09,9,11,2022,Wednesday,4
20221110,2022-11-10,10,11,2022,Thursday,4
20221111,2022-11-11,11,11,2022,Friday,4
20221112,2022-11-12,12,11,2022,Saturday,4
20221113,2022-11-13,13,11,2022,Sunday,4
20221114,2022-11-14,14,11,2022,Monday,4
20221115,2022-11-15,15,11,2022,Tuesday,4
20221116,2022-11-16,16,11,2022,Wednesday,4
20221117,2022-11-17,17,11,2022,Thursday,4
20221118,2022-11-18,18,11,2022,Friday,4
20221119,2022-11-19,19,11,2022,Saturday,4
20221120,2022-11-20,20,11,2022,Sunday,4
20221121,2022-11-21,21,11,2022,Monday,4
20221122,2022-11-22,22,11,2022,Tuesday,4
20221123,2022-11-23,23,11,2022,Wednesday,4
20221124,2022-11-24,24,11,2022,Thursday,4
20221125,2022-11-25,25,11,2022,Friday,4
20221126,2022-11-26,26,11,2022,Saturday,4
20221127,2022-11-27,27,11,2022,Sunday,4
20221128,2022-11-28,28,11,2022,Monday,4
20221129,2022-11-29,29,11,2022,Tuesday,4
20221130,2022-11-30,30,11,2022,Wednesday,4
20221201,2022-12-01,1,12,2022,Thursday,4
20221202,2022-12-02,2,12,2022,Friday,4
20221203,2022-12-03,3,12,2022,Saturday,4
20221204,2022-12-04,4,12,2022,Sunday,4
20221205,2022-12-05,5,12,2022,Monday,4
20221206,2022-12-06,6,12,2022,Tuesday,4
20221207,2022-12-07,7,12,2022,Wednesday,4
20221208,2022-12-08,8,12,2022,Thursday,4
20221209,2022-12-09,9,12,2022,Friday,4
20221210,2022-12-10,10,12,2022,Saturday,4
20221211,2022-12-11,11,12,2022,Sunday,4
20221212,2022-12-12,12,12,2022,Monday,4
20221213,2022-12-13,13,12,2022,Tuesday,4
20221214,2022-12-14,14,12,2022,Wednesday,4
20221215,2022-12-15,15,12,2022,Thursday,4
20221216,2022-12-16,16,12,2022,Friday,4
20221217,2022-12-17,17,12,2022,Saturday,4
20221218,2022-12-18,18,12,2022,Sunday,4
20221219,2022-12-19,19,12,2022,Monday,4
20221220,2022-12-20,20,12,2022,Tuesday,4
20221221,2022-12-21,21,12,2022,Wednesday,4
20221222,2022-12-22,22,12,2022,Thursday,4
20221223,2022-12-23,23,12,2022,Friday,4
20221224,2022-12-24,24,12,2022,Saturday,4
20221225,2022-12-25,25,12,2022,Sunday,4
20221226,2022-12-26,26,12,2022,Monday,4
20221227,2022-12-27,27,12,2022,Tuesday,4
20221228,2022-12-28,28,12,2022,Wednesday,4
20221229,2022-12-29,29,12,2022,Thursday,4
20221230,2022-12-30,30,12,2022,Friday,4
20221231,2022-12-31,31,12,2022,Saturday,4
